id,title,authors,year,start_page,end_page,subject,filename,editors,doi,isbn,issn,proceeding_title,series_title,publisher,publication_place,conference_date,conference_location,session_title,publication_type,language,peer_review_status,label_forschungssoftware,label_forschungssoftware_erklärung,label_software_evaluation,label_software_evaluation_erklärung,label_lehr_lern_setting,label_lehr_lern_setting_erklärung,label_prozess_paradigma,label_prozess_paradigma_erklärung,label_lernende_paradigma,label_lernende_paradigma_erklärung,label_design_paradigma,label_design_paradigma_erklärung,label_bildungstechnologie_paradigma,label_bildungstechnologie_paradigma_erklärung
1,Gibt es eine Net Generation? Widerlegung einer Mystifizierung,"Schulmeister, Rolf",2008,15.0,28.0,,15.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,0,"Die Publikation enthält keine spezifische Forschungssoftware wie Quellcode, Algorithmen oder Skripte, die zu einem Forschungszweck erstellt wurden. Es handelt sich um eine theoretisch-kritische Analyse ohne technische Entwicklungen.",0,"Da keine Forschungssoftware im Sinne der Definition vorhanden ist, gibt es auch keine Evaluation von Forschungssoftware.",0.0,"Die Publikation diskutiert zwar hochschuldidaktische Implikationen, aber es wird kein konkretes Lehr-Lern-Setting beschrieben oder untersucht. Der Fokus liegt auf der kritischen Analyse des Konzepts der 'Net Generation' und deren Mediennutzung.",-1.0,Das prozessorientierte Paradigma (Vereinfachung von Lehr-Lern-Prozessen durch Software) wird nicht thematisiert. Die Publikation beschäftigt sich nicht mit organisatorischen Abläufen oder der Entlastung von Lehrenden durch Forschungssoftware.,0.0,"Die Publikation analysiert zwar Effekte der Mediennutzung auf Jugendliche und Studierende (z.B. Medienkompetenz, Nutzungsmotive), aber diese werden nicht im Kontext einer Forschungssoftware oder eines Lehr-Lern-Settings gemessen. Es handelt sich um eine allgemeine Diskussion ohne direkte Messung kognitiver, motivationaler oder affektiver Wirkungen im Sinne des Paradigmas.",-1.0,"Die Entwicklung neuer Forschungssoftware steht nicht im Vordergrund. Die Publikation ist eine kritische Auseinandersetzung mit bestehenden Konzepten und empirischen Studien, nicht mit der Entwicklung technischer Lösungen.",1.0,"Die Publikation diskutiert allgemeine Bildungstechnologien wie das Internet, Web 2.0 und digitale Medien im Kontext von Lehre und Lernen. Diese Technologien wurden nicht spezifisch für Forschungszwecke entwickelt, sondern sind im Zuge der Digitalisierung verfügbar geworden und werden im Bildungskontext analysiert."
2,Orchestrierung von Web 2.0-Anwendungen im Kontext hochschulischer Lehr-/Lernprozesse,"Carell, Angela; Schaller, Isabel",2008,41.0,52.0,,41.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,0,"Die Publikation erwähnt keine eigens entwickelte Forschungssoftware. Stattdessen werden bestehende Web 2.0-Anwendungen (z.B. Netvibes, WordPress, Google Docs, BibSonomy) genutzt, die nicht für einen spezifischen Forschungszweck erstellt wurden.",0,"Es findet keine Evaluation von Forschungssoftware statt, da keine solche Software im Sinne der Definition verwendet wird. Die Evaluation bezieht sich auf die Nutzung und Orchestrierung bestehender Web 2.0-Tools im Lehr-Lern-Kontext.",1.0,Die Publikation beschreibt ein konkretes Lehr-Lern-Setting in Form einer einwöchigen Praxiswoche im Rahmen eines berufsbegleitenden Masterstudiengangs. Dieses Setting wird detailliert dargestellt und evaluiert.,1.0,"Die Publikation legt einen starken Fokus auf die Vereinfachung und Unterstützung des Lehr-Lern-Prozesses durch die Orchestrierung von Web 2.0-Anwendungen. Es wird beschrieben, wie diese Tools die Organisation (z.B. Dokumentation, Kommunikation, Zugänglichkeit von Ressourcen) erleichtern und die Rahmenbedingungen der Lehre verbessern.",0.0,"Obwohl die Effekte auf die Lernenden (z.B. Reflexion, Motivation, Partizipation) thematisiert werden, steht nicht die systematische Messung kognitiver, motivationaler oder affektiver Wirkungen im Vordergrund. Die Evaluation ist eher qualitativ und prozessorientiert, nicht primär lernendenzentriert.",-1.0,"Die Publikation entwickelt keine neue Forschungssoftware. Es geht um die Anwendung und Kombination bestehender Tools, nicht um deren Neuentwicklung.",1.0,"Die Publikation setzt auf allgemeine Bildungstechnologien (Web 2.0-Anwendungen wie Blogs, Wikis, RSS-Feeds), die im Zuge der Digitalisierung verfügbar geworden sind und nun in einem Lehr-Lern-Kontext angewendet werden. Diese Tools wurden nicht spezifisch für Forschungszwecke entwickelt, sondern sind gesellschaftlich und technologisch verbreitete Anwendungen."
3,E-Learning im Second Life – Eine Veranstaltung „IT-Projektmanagement“,"Voß, Sarah; Vuong, The-Anh; Krömker, Detlef; Müller, Ralph",2008,53.0,64.0,,53.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,0,"Die Publikation erwähnt keine eigens entwickelte Forschungssoftware wie Quellcode, Algorithmen oder Skripte. Stattdessen wird eine bestehende Plattform (Second Life) genutzt, die nicht für den spezifischen Forschungszweck erstellt wurde.",1,"Die Publikation evaluiert den Einsatz von Second Life als E-Learning-Tool, indem Studierende zu ihrer Erfahrung mit der Plattform befragt und die Daten statistisch ausgewertet werden. Dies umfasst Aspekte wie Bedienbarkeit, Kommunikation und Eignung als Lernort.",1.0,"Die Publikation beschreibt ein konkretes Lehr-Lern-Setting, nämlich die Veranstaltung „Einführung in das IT-Projektmanagement“, in der Second Life als Kommunikationsmedium für Gruppenarbeiten und Rollenspiele eingesetzt wird.",1.0,"Die Publikation legt einen starken Fokus auf die Vereinfachung des Lehr-Lern-Prozesses durch Second Life, z.B. durch flexible räumliche und zeitliche Nutzungsmöglichkeiten, die Organisation von virtuellen Sitzungen und die Entlastung der Lehrenden durch digitale Kommunikationsformen.",1.0,"Die Effekte von Second Life auf die Lernenden werden explizit gemessen, z.B. durch die Evaluation von Hemmungen bei Präsentationen, Motivation, Identifikation mit Rollenspielen und Zufriedenheit mit der Lernsituation. Auch kognitive Aspekte wie die Anwendung von Projektmanagement-Methoden werden berücksichtigt.",-1.0,"Die Publikation beschäftigt sich nicht mit der Entwicklung neuer Forschungssoftware, sondern mit der Anwendung einer bestehenden Plattform (Second Life). Daher ist das designorientierte Paradigma nicht enthalten.",1.0,"Second Life wird als allgemeine Bildungstechnologie eingesetzt, die nicht spezifisch für diesen Forschungszweck entwickelt wurde, sondern im Zuge der Digitalisierung von Lehr-Lern-Prozessen verfügbar ist. Die Publikation untersucht deren Anwendung in einem Bildungskontext."
4,eLearning als Teil einer serviceorientierten Hochschulinfrastruktur,"Graf, Stephan; Gergintchev, Ivan; Pätzold, Sebastian; Rathmayer, Sabine",2008,65.0,76.0,,65.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung und Integration von Schnittstellen, Diensten und Architekturen (z.B. CLIX2ERP, Enterprise Service Bus, Single Sign-On-Lösungen) zur serviceorientierten Hochschulinfrastruktur. Diese wurden explizit für die Forschung und Anwendung im Kontext der TUM-Projekte (IntegraTUM, elecTUM, HIS@TUM) erstellt und umfassen Quellcode, Algorithmen sowie rechnergestützte Arbeitsabläufe.",0,"Die Publikation beschreibt zwar die Implementierung und Anwendung der Softwarelösungen, es findet jedoch keine systematische Evaluation der Forschungssoftware im Sinne einer Messung von Effekten oder Wirksamkeit statt. Es werden Nutzungszahlen genannt, aber keine evaluativen Methoden angewendet.",1.0,"Die Publikation bezieht sich auf konkrete Lehr-Lern-Settings, insbesondere die Integration von eLearning in die Hochschullehre (z.B. Nutzung von CLIX Campus, Casus für fallbasiertes Lernen in der Medizin). Es werden Anwendungsfälle wie Lehrveranstaltungsanmeldungen, Prüfungsorganisation und Lernmaterialbereitstellung beschrieben.",1.0,"Die Publikation legt einen starken Fokus auf die Vereinfachung und Optimierung von Lehr-Lern-Prozessen durch die Integration von Systemen (z.B. Single Sign-On, automatisierte Datenübertragung zwischen CMS und LMS). Die serviceorientierte Architektur zielt explizit auf die Erleichterung organisatorischer Abläufe und die Entlastung der Lehrenden ab.",0.0,"Obwohl die Publikation die Nutzung der Lernplattform durch Studierende erwähnt (z.B. steigende Nutzerzahlen), werden keine Effekte auf Lernende wie Wissenserwerb, Motivation oder Zufriedenheit gemessen oder diskutiert. Der Fokus liegt auf technischer und organisatorischer Integration, nicht auf Lernerfolgen.",1.0,"Die Publikation beschreibt die Entwicklung neuer Softwarelösungen und Architekturen (z.B. Enterprise Service Bus, Fachdienste, Implementierungsdienste), die zuvor in dieser Form nicht existierten. Die Forschungssoftware wurde eigens für die Anforderungen der TUM-Projekte konzipiert und implementiert.",1.0,"Die Publikation setzt allgemeine Bildungstechnologien ein, die nicht spezifisch für die Forschung entwickelt wurden, sondern im Zuge der Digitalisierung verfügbar sind (z.B. Learning Management Systeme wie CLIX, HIS-POS, Shibboleth für föderiertes Identitätsmanagement). Diese Technologien werden in den Bildungskontext integriert und angepasst."
5,Dienste-basierte Kopplung von virtueller und Präsenzlehre,"Lehsten, Philipp; Thiele, Andreas; Zilz, René; Dressler, Enrico; Zender, Raphael; Lucke, Ulrike; Tavangarian, Djamshid",2008,77.0,88.0,,77.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung eines prototypischen Systems zur Dienste-basierten Kopplung von Präsenzlehre und virtuellen Lernumgebungen (z. B. Second Life und Stud.IP). Dieses System umfasst Quellcode (z. B. Java-basierte Gegenstelle für ICSP, Web Services) und Algorithmen zur Integration verschiedener Dienste, was als Forschungssoftware im Sinne der Definition gilt.",1,"Die Publikation enthält ein Evaluationsszenario (Abschnitt 4), in dem der Prototyp im Rahmen einer Lehrveranstaltung getestet und dessen Funktionalität sowie Akzeptanz bei den Nutzern (realem und virtuellem Publikum) bewertet wird.",1.0,Die Publikation beschreibt konkret die Kopplung von Präsenzlehre in einer Medienwerkstatt mit virtuellen Lernumgebungen (Second Life und Stud.IP) und evaluiert dies in einem realen Lehr-Lern-Setting (Lehrveranstaltung mit realen und virtuellen Teilnehmern).,1.0,Die Publikation legt einen starken Fokus auf die Vereinfachung und Flexibilisierung des Lehr-Lern-Prozesses durch die SOA-basierte Kopplung verschiedener Lehrformen. Dies umfasst die nahtlose Integration synchroner und asynchroner Szenarien sowie die Entlastung der Lehrenden durch transparente Nutzung verschiedener Dienste.,0.0,"Obwohl die Akzeptanz der Nutzer im Evaluationsszenario erwähnt wird, liegt der Fokus nicht auf der Messung kognitiver, motivationaler oder affektiver Effekte bei den Lernenden. Es gibt keine explizite Untersuchung von Lernerfolgen oder ähnlichen Wirkungen.",1.0,"Die Publikation steht im Zeichen der Entwicklung eines neuen Systems (Prototyp) zur Dienste-basierten Kopplung von Präsenz- und virtueller Lehre. Die Architektur und Implementierung des Systems werden detailliert beschrieben, was dem designorientierten Paradigma entspricht.",0.0,"Die Publikation nutzt zwar bestehende Technologien wie Second Life, Stud.IP und Web Services, der Fokus liegt jedoch auf der Entwicklung einer neuen Forschungssoftware (SOA-basiertes System) und nicht auf der Anwendung allgemeiner Bildungstechnologien ohne Forschungsbezug."
6,"Service-basierte Integration dynamischer, interaktiver Medien in Lernplattformen","Gläser, Martin; Zender, Raphael; Lucke, Ulrike; Tavangarian, Djamshid",2008,89.0,100.0,,89.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung eines prototypischen Systems zur Service-basierten Integration dynamischer, interaktiver Medien in Lernplattformen. Dieses System umfasst Quellcode-Elemente (z.B. Web Services, PlugIns für Stud.IP) und Algorithmen zur Kopplung verschiedener eLearning-Werkzeuge, was als Forschungssoftware im definierten Sinne gilt.",0,"Obwohl die Publikation die Architektur und Funktionsweise des Systems detailliert beschreibt, gibt es keine explizite Evaluation der Forschungssoftware hinsichtlich ihrer Effektivität oder Effizienz. Es wird lediglich eine Bewertung der Vorteile des Ansatzes vorgenommen, aber keine systematische Evaluation durchgeführt.",1.0,"Die Publikation behandelt konkret die Integration von Vorlesungsaufzeichnungen und Live-Übertragungen in Lernplattformen wie Stud.IP. Dies stellt ein spezifisches Lehr-Lern-Setting dar, in dem Studierende sowohl synchron als auch asynchron an Lehrveranstaltungen teilnehmen können.",1.0,"Die Publikation legt einen starken Fokus auf die Vereinfachung und Verbesserung der organisatorischen Abläufe im Lehr-Lern-Prozess. Durch die Service-basierte Integration dynamischer Medien werden manuelle Prozessschritte reduziert, und die Kopplung verschiedener eLearning-Szenarien wird erleichtert. Dies zeigt eine explizite Ausrichtung auf das prozessorientierte Paradigma.",-1.0,"Die Publikation erwähnt keine Messung oder Untersuchung der Effekte der Forschungssoftware auf die Lernenden, wie kognitive, motivationale oder affektive Wirkungen. Der Fokus liegt auf der technischen und organisatorischen Integration, nicht auf den Lernergebnissen.",1.0,"Im Mittelpunkt der Publikation steht die Entwicklung eines neuen Systems (Prototypen) zur Integration dynamischer Medien in Lernplattformen. Dieses System erfüllt Funktionen, die zuvor so nicht realisierbar waren, was dem designorientierten Paradigma entspricht.",0.0,"Die Publikation verwendet zwar allgemeine Bildungstechnologien wie Web Services, Streaming-Server und Lernplattformen (z.B. Stud.IP), der Hauptfokus liegt jedoch auf der Entwicklung einer neuen Forschungssoftware. Daher spielt das Bildungstechnologie-Paradigma eine untergeordnete, aber implizit vorhandene Rolle."
7,"Theatrum Machinarum Generale – Schauplatz der digitalen Wissensorganisation, Archivierung und Erschließung","Schulte, Jonas; Hampel, Thorsten; Gießmann, Marco;
Ferber, Ferdinand; Stark, Konrad",2008,101.0,112.0,,101.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation stellt das Wasabi-Framework vor, eine serviceorientierte Architektur, die explizit für die Integration von Forschungslaboren in digitale Bibliotheken und E-Learning-Infrastrukturen entwickelt wurde. Dies umfasst Quellcode-ähnliche Komponenten wie Webservices und prozesssteuernde Services, die als Forschungssoftware gelten.",0,"Obwohl die Publikation die Architektur und Integration des Wasabi-Frameworks beschreibt, wird keine systematische Evaluation der Software im Sinne von Wirksamkeitsmessungen oder Nutzerfeedback durchgeführt. Es handelt sich eher um eine konzeptionelle und technische Beschreibung.",1.0,"Die Publikation thematisiert explizit die Integration von Forschungsergebnissen aus dem Thermoschock-Prüfstand in Lehr-Lern-Settings wie Praktika, Seminare und kooperative Wissensräume. Dies zeigt, dass ein konkretes Lehr-Lern-Setting adressiert wird.",1.0,"Die Publikation legt einen starken Fokus auf die Vereinfachung und Verbesserung der organisatorischen Abläufe in der Lehre und Forschung. Durch die serviceorientierte Architektur und die Integration in digitale Bibliotheken wird die Wissensorganisation, Archivierung und kooperative Zusammenarbeit erleichtert, was den Lehr-Lern-Prozess unterstützt.",0.0,"Obwohl die Publikation die Bereitstellung von Wissen für Lernende erwähnt, wird nicht explizit auf die Messung von Effekten auf die Lernenden (z.B. Wissenserwerb, Motivation) eingegangen. Der Fokus liegt eher auf der technischen und organisatorischen Integration.",1.0,"Die Entwicklung des Wasabi-Frameworks und der serviceorientierten Architektur für das Thermoschock-Labor steht im Vordergrund. Diese Forschungssoftware wurde neu konzipiert, um bisher nicht realisierbare Funktionen wie die Integration von Laborhardware in digitale Bibliotheken zu ermöglichen.",0.0,"Die Publikation verwendet zwar digitale Bibliotheken und CSCW-Systeme, die als allgemeine Bildungstechnologien gelten könnten, jedoch liegt der Hauptfokus auf der Entwicklung und Anwendung der eigens für den Forschungszweck erstellten Forschungssoftware (Wasabi-Framework). Daher wird dieses Paradigma nur implizit adressiert."
8,Einsatz persönlicher Wissensnetze im Ressourcen-basierten Lernen,"Böhnstedt, Doreen; Scholl, Philipp; Benz, Bastian; Rensing, Christoph; Steinmetz, Ralf; Schmitz, Bernhard",2008,113.0,124.0,,113.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung und Implementierung eines Prototyps für ein 'erweiterbares Wissensnetz', das als Firefox-Extension realisiert wurde. Dieser Prototyp stellt Forschungssoftware dar, da er spezifisch für den Forschungszweck des Ressourcen-basierten Lernens entwickelt wurde und Quellcode, Algorithmen sowie ausführbare Dateien umfasst.",1,"Die Publikation enthält eine Evaluation des Prototyps mit 64 Studierenden. Die Evaluation untersucht die Nutzung, Akzeptanz und Wirkung des Wissensnetz-Werkzeugs im Rahmen einer Rechercheaufgabe, was einer expliziten Software-Evaluation entspricht.",1.0,"Die Publikation bezieht sich auf ein konkretes Lehr-Lern-Setting, in dem Studierende im Rahmen eines Experiments Informationen recherchieren und organisieren. Das Setting ist klar definiert und zielt auf die Unterstützung des selbstgesteuerten, Ressourcen-basierten Lernens ab.",1.0,"Die Forschungssoftware zielt darauf ab, den Lehr-Lern-Prozess zu vereinfachen, indem sie die Organisation und Repräsentation von Wissensartefakten unterstützt. Dies wird explizit als Ziel der Software genannt, um Desorientierung und kognitive Mehrbelastung zu reduzieren und den Rechercheprozess effizienter zu gestalten.",1.0,"Die Evaluation misst explizit die Effekte der Software auf die Lernenden, z.B. durch einen Wissenstest vor und nach der Nutzung des Prototyps. Zudem werden subjektive Einschätzungen der Studierenden zur Nutzung und Akzeptanz der Software erhoben, was kognitive und motivationale Wirkungen umfasst.",1.0,"Die Publikation legt einen starken Fokus auf die Entwicklung der Forschungssoftware selbst. Der Prototyp des Wissensnetzes wird konzipiert, implementiert und als neuartige Lösung für das Ressourcen-basierte Lernen vorgestellt, was dem designorientierten Paradigma entspricht.",0.0,"Obwohl allgemeine Bildungstechnologien wie Concept Maps oder Mind Maps erwähnt werden, steht die Anwendung einer spezifisch für den Forschungszweck entwickelten Software (das Wissensnetz) im Vordergrund. Daher wird dieses Paradigma als implizit enthalten, aber nicht dominant annotiert."
9,Einsatz und Evaluation eines Zielmanagement-Werkzeugs bei der selbstregulierten Internet-Recherche,"Scholl, Philipp; Benz, Bastian; Böhnstedt, Doreen; Rensing, Christoph; Steinmetz, Ralf; Schmitz, Bernhard",2008,125.0,136.0,,125.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung und Implementierung eines Zielmanagement-Werkzeugs als Firefox-Erweiterung, das speziell für den Forschungszweck des selbstregulierten Lernens bei Internet-Recherchen erstellt wurde. Es handelt sich um eine eigens entwickelte Software mit Quellcode, Algorithmen und einer spezifischen Funktionalität zur Unterstützung metakognitiver Prozesse.",1,"Die Publikation stellt eine Evaluationsstudie vor, in der das entwickelte Zielmanagement-Werkzeug in verschiedenen Gruppen (Experimental- und Kontrollgruppen) getestet und hinsichtlich seiner Wirkung auf das Lernverhalten, die Motivation und die Emotionen der Lernenden untersucht wird.",1.0,"Die Publikation bezieht sich auf ein konkretes Lehr-Lern-Setting, in dem Studierende eine Internet-Recherche zu einem vorgegebenen Thema (Klassische Antike) durchführen. Das Setting ist klar definiert und umfasst Prä- und Posttests, eine Lernphase sowie die Nutzung spezifischer Werkzeuge zur Unterstützung des Lernprozesses.",0.0,"Obwohl das Werkzeug die Organisation des Lernprozesses (z. B. Zielsetzung, Planung, Überwachung) unterstützt, steht die Vereinfachung organisatorischer Abläufe nicht im expliziten Fokus der Evaluation. Die Wirkung auf den Lernprozess wird eher mittelbar über motivationale und emotionale Effekte betrachtet, daher wird hier eine 0 vergeben.",1.0,"Die Evaluation konzentriert sich explizit auf die Effekte des Werkzeugs auf die Lernenden, insbesondere auf motivationale (z. B. Selbstwirksamkeit, Motivation) und affektive Wirkungen (z. B. Emotionen wie Stolz oder Entschlossenheit). Auch kognitive Aspekte (z. B. Navigationsverhalten, Nutzung von Ressourcen) werden untersucht, sodass dieses Paradigma klar verfolgt wird.",1.0,"Die Publikation legt einen starken Fokus auf die Entwicklung des Zielmanagement-Werkzeugs, das als neue Forschungssoftware mit spezifischen Funktionen (z. B. Zielhierarchien, Ressourcenverwaltung, Wissensnetze) konzipiert und implementiert wurde. Die Entwicklung steht im Vordergrund und erfüllt Funktionen, die zuvor nicht in dieser Form realisierbar waren.",0.0,"Obwohl allgemeine Technologien wie der Firefox-Browser oder Wikipedia als Grundlage genutzt werden, steht nicht deren Anwendung im Vordergrund, sondern die eigens entwickelte Forschungssoftware. Daher wird dieses Paradigma nur implizit berücksichtigt, aber nicht explizit verfolgt."
10,Einsatz eines webbasierten Mehrautorensystems in der Lehre - ein Erfahrungsbericht,"Hu, Bo; Gollin, Klaus",2008,137.0,148.0,,137.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt ein webbasiertes Mehrautorensystem (Collaborative Authoring System, CAS), das speziell für die Unterstützung von Lehr-Lern-Prozessen entwickelt wurde. Es handelt sich um ein XML- und webbasiertes System mit Funktionen wie Versionierung, Logging, Kommentierung und Literaturverwaltung, das explizit für Forschungs- und Lehrzwecke eingesetzt wird.",1,"Die Publikation evaluiert das Mehrautorensystem anhand von Nutzungsdaten, die durch integrierte Logging- und Versionierungsfunktionen gesammelt wurden. Es werden Nutzungsintensität, Arbeitsverteilung in Gruppen und Verbesserungspotentiale analysiert, was eine systematische Evaluation der Software darstellt.",1.0,"Die Publikation beschreibt den Einsatz des Mehrautorensystems in einem konkreten Lehr-Lern-Setting, nämlich bei der Erstellung von Diplomarbeiten und der Durchführung von Fallstudien an der FOM. Es wird detailliert auf die Nutzung durch Studierende und Lehrende eingegangen.",1.0,"Die Publikation legt einen starken Fokus auf die Vereinfachung des Lehr-Lern-Prozesses durch das Mehrautorensystem. Dies zeigt sich in der Analyse der Nutzungsintensität, der Arbeitsverteilung innerhalb von Lerngruppen und der Diskussion über die Entlastung der Lehrenden durch zeitnahes Feedback und bessere Betreuungsmöglichkeiten.",0.0,"Obwohl die Publikation die Nutzung des Systems durch Studierende beschreibt und indirekt auf motivationale Aspekte (z.B. Feedback als Motivationsinstrument) eingeht, liegt der explizite Fokus nicht auf der Messung von Effekten auf die Lernenden wie Wissenserwerb, Kompetenzerwerb oder affektive Wirkungen. Diese Aspekte werden nur am Rande erwähnt.",1.0,"Die Publikation stellt die Entwicklung und Weiterentwicklung des Mehrautorensystems in den Vordergrund. Es wird beschrieben, wie das System seit 2004 weiterentwickelt wurde und welche spezifischen Funktionen (z.B. Versionierung, Kommentierung, Literaturverwaltung) es erfüllt, die zuvor in dieser Form nicht realisierbar waren.",0.0,"Das beschriebene Mehrautorensystem ist eine spezifisch für den Forschungs- und Lehrkontext entwickelte Software und keine allgemeine Bildungstechnologie. Allerdings wird auf die Nutzung allgemeiner Technologien wie Microsoft Word oder OpenOffice hingewiesen, die jedoch nicht im Fokus der Evaluation stehen. Daher wird hier eine 0 vergeben."
