id,title,authors,year,start_page,end_page,subject,filename,editors,doi,isbn,issn,proceeding_title,series_title,publisher,publication_place,conference_date,conference_location,session_title,publication_type,language,peer_review_status,label_forschungssoftware,label_forschungssoftware_erklärung,label_software_evaluation,label_software_evaluation_erklärung,label_lehr_lern_setting,label_lehr_lern_setting_erklärung,label_prozess_paradigma,label_prozess_paradigma_erklärung,label_lernende_paradigma,label_lernende_paradigma_erklärung,label_design_paradigma,label_design_paradigma_erklärung,label_bildungstechnologie_paradigma,label_bildungstechnologie_paradigma_erklärung
1,Gibt es eine Net Generation? Widerlegung einer Mystifizierung,"Schulmeister, Rolf",2008,15.0,28.0,,15.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,0,Die Publikation enthält keine Forschungssoftware.,0,Die Publikation evaluiert keine Forschungssoftware.,1.0,"Die Publikation geht auf ein konkretes Lehr-Lern-Setting ein, nämlich die Frage, ob es eine Net Generation gibt und welche Auswirkungen dies auf die Lehre haben könnte.",-1.0,Die Publikation konzentriert sich nicht auf die Vereinfachung des Lehr-Lern-Prozesses durch Forschungssoftware.,1.0,"Die Publikation untersucht die Effekte der Mediennutzung auf die Lernenden, insbesondere ihre kognitiven, motivationalen und affektiven Wirkungen.",-1.0,Die Publikation entwickelt keine neue Forschungssoftware.,1.0,"Die Publikation geht auf die Anwendung von digitaler Technologie in einem Bildungskontext ein, insbesondere auf die Frage, wie die Net Generation die Lehre beeinflusst."
2,Orchestrierung von Web 2.0-Anwendungen im Kontext hochschulischer Lehr-/Lernprozesse,"Carell, Angela; Schaller, Isabel",2008,41.0,52.0,,41.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,0,"Die Publikation enthält keine Forschungssoftware im Sinne von Quellcode-Dateien, Algorithmen, Skripten, rechnergestützten Arbeitsabläufen oder ausführbaren Dateien, die zu einem Forschungszweck erstellt wurden.",1,Die Publikation evaluiert die Anwendung von Web 2.0-Anwendungen im Kontext computerunterstützten kollaborativen Lernens.,1.0,"Die Publikation geht auf ein konkretes Lehr-Lern-Setting ein, nämlich die Anwendung von Web 2.0-Anwendungen in der Hochschullehre.",1.0,"Die Publikation vereinfacht den Lehr-Lern-Prozess durch die Anwendung von Web 2.0-Anwendungen, indem sie die Organisation und Gestaltung des Lehr-Lern-Settings erleichtert.",1.0,"Die Publikation misst die Effekte der Anwendung von Web 2.0-Anwendungen auf die Lernenden, insbesondere ihre Lernerfahrungen und Reflexionen.",-1.0,"Die Publikation entwickelt keine neue Forschungssoftware, sondern wendet bestehende Web 2.0-Anwendungen an.",1.0,"Die Publikation wendet allgemeine Bildungstechnologie an, nämlich Web 2.0-Anwendungen, die nicht eigens für einen konkreten Forschungszweck entwickelt wurden, sondern im Zuge einer gesellschaftlichen oder technologischen Entwicklung verfügbar geworden sind."
3,E-Learning im Second Life – Eine Veranstaltung „IT-Projektmanagement“,"Voß, Sarah; Vuong, The-Anh; Krömker, Detlef; Müller, Ralph",2008,53.0,64.0,,53.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,0,"Die Publikation beschreibt den Einsatz von Second Life in einem Lehr-Lern-Setting, aber es wird keine spezifische Forschungssoftware erstellt oder verwendet.",1,Die Publikation evaluiert den Einsatz von Second Life in einem Lehr-Lern-Setting und untersucht dessen Auswirkungen auf die Lernenden.,1.0,"Die Publikation beschreibt ein konkretes Lehr-Lern-Setting, nämlich den Einsatz von Second Life in einer Veranstaltung über IT-Projektmanagement.",1.0,"Die Publikation untersucht, wie Second Life den Lehr-Lern-Prozess vereinfacht und verbessert, indem es beispielsweise die Kommunikation und die Zusammenarbeit zwischen den Lernenden erleichtert.",1.0,"Die Publikation untersucht die Auswirkungen von Second Life auf die Lernenden, beispielsweise ihre Zufriedenheit und ihre Lernergebnisse.",-1.0,"Die Publikation beschreibt nicht die Entwicklung von Second Life, sondern dessen Einsatz in einem Lehr-Lern-Setting.",1.0,"Die Publikation verwendet Second Life als allgemeine Bildungstechnologie, die nicht eigens für einen konkreten Forschungszweck entwickelt wurde, sondern im Zuge einer gesellschaftlichen oder technologischen Entwicklung verfügbar geworden ist."
4,eLearning als Teil einer serviceorientierten Hochschulinfrastruktur,"Graf, Stephan; Gergintchev, Ivan; Pätzold, Sebastian; Rathmayer, Sabine",2008,65.0,76.0,,65.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,0,"Die Publikation beschreibt die Integration von eLearning in die IuK Infrastrukturen an deutschen Hochschulen, aber es wird keine spezifische Forschungssoftware vorgestellt oder entwickelt.",0,"Die Publikation beschreibt die Integration von eLearning in die IuK Infrastrukturen an deutschen Hochschulen, aber es wird keine Evaluation von Forschungssoftware durchgeführt.",1.0,"Die Publikation beschreibt die Integration von eLearning in die IuK Infrastrukturen an deutschen Hochschulen, insbesondere an der TU München, und geht auf konkrete Lehr-Lern-Settings ein.",1.0,"Die Publikation beschreibt die Integration von eLearning in die IuK Infrastrukturen an deutschen Hochschulen und zeigt, wie die Organisation und Gestaltung des Lehr-Lern-Settings durch die Forschungssoftware erleichtert werden kann.",-1.0,"Die Publikation beschreibt die Integration von eLearning in die IuK Infrastrukturen an deutschen Hochschulen, aber es werden keine Effekte der Forschungssoftware auf die Lernenden gemessen oder diskutiert.",0.0,"Die Publikation beschreibt die Integration von eLearning in die IuK Infrastrukturen an deutschen Hochschulen, aber es wird keine neue Forschungssoftware entwickelt oder präsentiert.",1.0,"Die Publikation beschreibt die Integration von eLearning in die IuK Infrastrukturen an deutschen Hochschulen und zeigt, wie allgemeine Bildungstechnologien wie Learning Management Systeme (LMS) und Enterprise Service Bus (ESB) eingesetzt werden."
5,Dienste-basierte Kopplung von virtueller und Präsenzlehre,"Lehsten, Philipp; Thiele, Andreas; Zilz, René; Dressler, Enrico; Zender, Raphael; Lucke, Ulrike; Tavangarian, Djamshid",2008,77.0,88.0,,77.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung eines Prototyps, der eine Dienste-basierte Kopplung von virtueller und Präsenzlehre ermöglicht. Dieser Prototyp kann als Forschungssoftware betrachtet werden, da er speziell für einen Forschungszweck erstellt wurde.",1,Die Publikation evaluiert den Prototyp in einem spezifischen Lehr-Lern-Setting und diskutiert dessen Einsatzmöglichkeiten und Grenzen.,1.0,"Die Publikation geht auf ein konkretes Lehr-Lern-Setting ein, nämlich die Kopplung von virtueller und Präsenzlehre in einer Medienwerkstatt.",1.0,"Der Prototyp vereinfacht den Lehr-Lern-Prozess, indem er eine flexible Integration von synchronen und asynchronen Szenarien in verschiedene virtuelle Lernumgebungen ermöglicht.",0.0,"Die Publikation diskutiert die möglichen Auswirkungen des Prototyps auf die Lernenden, aber es werden keine spezifischen Messungen oder Evaluationsergebnisse präsentiert.",1.0,"Die Publikation beschreibt die Entwicklung des Prototyps und dessen Funktionalitäten, was auf ein designorientiertes Paradigma hinweist.",1.0,"Die Publikation verwendet allgemeine Bildungstechnologien wie Second Life und Stud.IP, die nicht speziell für einen Forschungszweck entwickelt wurden, sondern im Zuge einer gesellschaftlichen oder technologischen Entwicklung verfügbar geworden sind."
6,"Service-basierte Integration dynamischer, interaktiver Medien in Lernplattformen","Gläser, Martin; Zender, Raphael; Lucke, Ulrike; Tavangarian, Djamshid",2008,89.0,100.0,,89.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung eines Systems zur Integration von Vorlesungsmitschnitten in eine Lernplattform, was als Forschungssoftware im Sinne von Definition 1) gilt.",0,"Die Publikation beschreibt die Entwicklung eines Systems, aber es wird keine Evaluation der Forschungssoftware durchgeführt.",1.0,"Die Publikation geht um ein konkretes Lehr-Lern-Setting, nämlich die Integration von Vorlesungsmitschnitten in eine Lernplattform.",1.0,"Die Publikation vereinfacht den Lehr-Lern-Prozess durch die Forschungssoftware, indem sie die Organisation und Gestaltung des Lehr-Lern-Settings erleichtert.",-1.0,"Die Publikation misst nicht die Effekte der Forschungssoftware auf die Lernenden, wie z.B. kognitive, motivationale oder affektive Wirkungen.",1.0,"Die Publikation entwickelt neue Forschungssoftware selbst, die Funktionen erfüllt, die so zuvor noch nicht realisierbar gewesen sind.",0.0,"Die Publikation verwendet zwar Bildungstechnologie, aber diese ist spezifisch für den Forschungszweck entwickelt worden und gilt daher als Forschungssoftware."
7,"Theatrum Machinarum Generale – Schauplatz der digitalen Wissensorganisation, Archivierung und Erschließung","Schulte, Jonas; Hampel, Thorsten; Gießmann, Marco;
Ferber, Ferdinand; Stark, Konrad",2008,101.0,112.0,,101.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung und Integration von Forschungssoftware, insbesondere des Wasabi-Frameworks, in ein Lehr-Lern-Setting.",0,"Die Publikation beschreibt die Entwicklung und Integration von Forschungssoftware, aber es wird keine explizite Evaluation der Software durchgeführt.",1.0,"Die Publikation beschreibt ein konkretes Lehr-Lern-Setting, nämlich die Integration von Forschungssoftware in ein Labor für Materialwissenschaften.",1.0,"Die Publikation beschreibt, wie die Forschungssoftware den Lehr-Lern-Prozess vereinfacht, indem sie die Organisation und Gestaltung des Lehr-Lern-Settings erleichtert.",0.0,"Die Publikation beschreibt nicht explizit die Effekte der Forschungssoftware auf die Lernenden, aber es wird angedeutet, dass die Software die Lernenden bei ihrer Arbeit unterstützen soll.",1.0,"Die Publikation beschreibt die Entwicklung von Forschungssoftware, insbesondere des Wasabi-Frameworks, und wie es in ein Lehr-Lern-Setting integriert werden kann.",1.0,"Die Publikation beschreibt die Anwendung von digitaler Technologie, insbesondere des Wasabi-Frameworks, in einem Bildungskontext, um den Lehr-Lern-Prozess zu unterstützen."
8,Einsatz persönlicher Wissensnetze im Ressourcen-basierten Lernen,"Böhnstedt, Doreen; Scholl, Philipp; Benz, Bastian; Rensing, Christoph; Steinmetz, Ralf; Schmitz, Bernhard",2008,113.0,124.0,,113.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung eines Wissensnetzes, das als Forschungssoftware gelten kann, da es spezifisch für einen Forschungszweck erstellt wurde.",1,"Die Publikation evaluiert die Forschungssoftware durch eine Studie mit 64 Studierenden, die das Wissensnetz nutzten, um Informationen zum Altertum zu recherchieren.",1.0,"Die Publikation geht auf ein konkretes Lehr-Lern-Setting ein, nämlich das Ressourcen-basierte Lernen in der Hochschule.",1.0,"Die Publikation zeigt, wie das Wissensnetz den Lehr-Lern-Prozess vereinfacht, indem es die Organisation und Gestaltung des Lehr-Lern-Settings erleichtert.",1.0,"Die Publikation misst die Effekte des Wissensnetzes auf die Lernenden, indem sie die Qualität der erstellten Wissensnetze und die Ergebnisse eines Wissenstests auswertet.",1.0,"Die Publikation entwickelt neue Forschungssoftware, nämlich das Wissensnetz, das spezifische Funktionen für das Ressourcen-basierte Lernen bietet.",-1.0,"Die Publikation verwendet keine allgemeine Bildungstechnologie, sondern entwickelt spezifische Forschungssoftware für das Ressourcen-basierte Lernen."
9,Einsatz und Evaluation eines Zielmanagement-Werkzeugs bei der selbstregulierten Internet-Recherche,"Scholl, Philipp; Benz, Bastian; Böhnstedt, Doreen; Rensing, Christoph; Steinmetz, Ralf; Schmitz, Bernhard",2008,125.0,136.0,,125.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt die Entwicklung eines Zielmanagement-Werkzeugs, das als Erweiterung des Internetbrowsers Firefox implementiert wurde. Dieses Werkzeug kann als Forschungssoftware betrachtet werden, da es speziell für einen konkreten Forschungszweck entwickelt wurde.",1,"Die Publikation beschreibt eine Evaluation des Zielmanagement-Werkzeugs, die durchgeführt wurde, um dessen Effektivität zu testen. Die Ergebnisse der Evaluation werden in der Publikation präsentiert.",1.0,"Die Publikation beschreibt ein konkretes Lehr-Lern-Setting, in dem das Zielmanagement-Werkzeug eingesetzt wird. Es geht um die Unterstützung von Lernenden bei der selbstgesteuerten Recherche von Webressourcen.",1.0,"Die Publikation beschreibt, wie das Zielmanagement-Werkzeug den Lehr-Lern-Prozess vereinfacht, indem es die Organisation und Gestaltung des Lehr-Lern-Settings erleichtert. Die Forschungssoftware unterstützt die Lernenden bei der Zielsetzung, Planung und Überwachung ihres Lernprozesses.",1.0,"Die Publikation beschreibt die Effekte des Zielmanagement-Werkzeugs auf die Lernenden, wie z.B. die Verbesserung ihrer motivationalen und emotionalen Zustände sowie ihre Fähigkeit, relevante Webressourcen zielgerichtet zu lokalisieren und zu navigieren.",1.0,"Die Publikation beschreibt die Entwicklung des Zielmanagement-Werkzeugs, das speziell für einen konkreten Forschungszweck entwickelt wurde. Die Forschungssoftware erfüllt Funktionen, die so zuvor noch nicht realisierbar gewesen sind.",0.0,"Die Publikation beschreibt nicht die Anwendung von allgemeiner Bildungstechnologie, die nicht eigens für einen konkreten Forschungszweck entwickelt wurde. Stattdessen wird eine spezifische Forschungssoftware entwickelt und evaluiert."
10,Einsatz eines webbasierten Mehrautorensystems in der Lehre - ein Erfahrungsbericht,"Hu, Bo; Gollin, Klaus",2008,137.0,148.0,,137.pdf,"Seehusen, Silke; Lucke, Ulrike; Fischer, Stefan",,978-3-88579-226-0,1617-5468,DeLFI 2008: Die 6. e-Learning Fachtagung Informatik,"Lecture Notes in Informatics (LNI) - Proceedings, Volume P-132",Gesellschaft für Informatik e. V.,Bonn,07. - 10. September 2008,Lübeck,Regular Research Papers,Text/Conference Paper,de,,1,"Die Publikation beschreibt ein webbasiertes Mehrautorensystem, das für die Erstellung und Betreuung von Diplomarbeiten sowie für die Durchführung von Fallstudien eingesetzt wird. Dieses System kann als Forschungssoftware betrachtet werden, da es spezifisch für einen konkreten Forschungszweck entwickelt wurde.",1,"Die Publikation evaluiert die Forschungssoftware, indem sie die Daten, die durch die im System integrierten Logging- und Versionierungsfunktionen produziert werden, analysiert. Diese Analyse dient dazu, den tatsächlichen Umfang der Nutzung des Systems zu untersuchen und weitere gezielte Verbesserungen am System zu motivieren.",1.0,"Die Publikation geht auf ein konkretes Lehr-Lern-Setting ein, nämlich die Durchführung von Diplomarbeiten und Fallstudien in einem berufsbegleitenden Studium. Das Mehrautorensystem wird in diesem Kontext eingesetzt, um die Erstellung von Dokumenten in studentischer Zusammenarbeit zu erleichtern und die Lehrenden bei der Überwachung des Lernprozesses zu unterstützen.",1.0,"Die Publikation zeigt, wie das Mehrautorensystem den Lehr-Lern-Prozess vereinfacht, indem es die Organisation und Gestaltung des Lehr-Lern-Settings erleichtert. Durch die Analyse der Daten, die durch die im System integrierten Logging- und Versionierungsfunktionen produziert werden, kann der tatsächliche Umfang der Nutzung des Systems untersucht werden.",0.0,"Die Publikation geht nicht direkt auf die Effekte der Forschungssoftware auf die Lernenden ein. Es werden jedoch einige Aspekte der Lernendenorientierung angesprochen, wie z.B. die Kommentierungsfunktion, die es den Lernenden ermöglicht, ihre Gedanken und Ideen zu dokumentieren und zu diskutieren.",0.0,"Die Publikation geht nicht direkt auf die Entwicklung der Forschungssoftware ein. Es wird jedoch auf die Weiterentwicklung des Systems hingewiesen, die aufgrund der Analyse der Daten durchgeführt werden soll.",1.0,"Die Publikation zeigt, wie eine allgemeine Bildungstechnologie, nämlich ein webbasiertes Mehrautorensystem, in einem Bildungskontext angewendet wird. Das System wird nicht eigens für einen konkreten Forschungszweck entwickelt, sondern ist eine verfügbare Technologie, die in einem Bildungskontext eingesetzt wird."
